,PRICE,SOLD_MONTH_Number,SOLD_DATE_DAY,SOLD_YEAR,PROPERTY_TYPE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,LOCATION
134777,1125000,5,15,2019,1,4.0,4.0,2780.0,4017.0,1927.0,19
134778,642600,9,9,2019,1,2.0,1.0,1480.0,5520.0,1944.0,19
134779,602500,8,16,2019,1,2.0,1.0,720.0,4000.0,1944.0,19
134780,1342000,8,31,2019,1,0.0,2.315704532026172,3100.0,4000.0,2004.0,19
134781,2800000,3,22,2019,1,6.0,4.5,5083.0,25911.0,1900.0,19
134782,750000,10,10,2018,3,3.0,2.5,1510.0,1715.0,2007.0,19
134783,700000,8,28,2018,1,0.0,2.315704532026172,600.0,5500.0,1925.0,19
134784,877800,5,14,2018,3,3.0,2.0,1823.0,1290.0,2017.0,19
134785,1305000,12,17,2019,1,5.0,3.5,3110.0,4614.0,2000.0,19
134786,1250000,11,14,2018,3,2.0,3.0,2814.0,1498.0,2009.0,19
134787,1158000,1,15,2020,1,5.0,3.0,2900.0,5500.0,1940.0,19
134788,1615000,10,10,2019,1,5.0,4.0,3600.0,6000.0,1941.0,19
134789,1420000,8,16,2019,1,4.0,2.5,3010.0,7000.0,1985.0,19
134790,721000,3,10,2020,1,3.0,2.0,1150.0,5000.0,1946.0,19
134791,439000,9,11,2019,0,2.0,1.0,744.0,60701.0,1968.0,19
134792,355000,10,8,2019,0,2.0,2.0,1100.0,56224.0,1974.0,19
134793,1888000,6,3,2019,1,4.0,2.5,3600.0,8609.0,1948.0,19
134794,807000,11,15,2019,1,3.0,1.0,2000.0,6840.0,1946.0,19
134795,900000,12,13,2018,1,4.0,2.0,2400.0,7680.0,1955.0,19
134796,785000,6,7,2019,1,3.0,2.0,1249.0,7680.0,1953.0,19
134797,1650000,8,15,2019,1,5.0,3.5,3180.0,4628.0,2001.0,19
134798,849000,2,14,2020,1,3.0,2.0,1740.0,6000.0,1944.0,19
134799,1045000,6,11,2019,1,2.0,2.0,1770.0,3000.0,1955.0,19
134800,1099000,8,19,2019,1,3.0,2.0,2020.0,5535.0,1941.0,19
134801,455000,2,24,2020,0,2.0,2.0,1080.0,27390.125019392875,1968.0,19
134802,2080000,11,21,2019,1,5.0,4.0,4404.0,6000.0,2019.0,19
134803,1250000,10,3,2019,3,3.0,3.0,2814.0,1064.0,2009.0,19
134804,2350000,12,19,2019,6,11.0,12.0,5075.0,7020.0,1962.0,19
134805,1168000,10,25,2019,4,6.0,4.0,4250.0,6000.0,1964.0,19
134806,615000,9,12,2019,3,2.0,2.0,1400.0,896.0,2013.0,19
134807,1055000,10,24,2019,1,3.0,3.0,2400.0,4950.0,1967.0,19
134808,835000,11,18,2019,1,2.0,2.0,2100.0,6150.0,1946.0,19
134809,1375000,9,12,2019,1,5.0,3.0,3320.0,7431.0,1947.0,19
134810,464000,9,27,2019,3,2.0,2.0,1010.0,1534.0,2003.0,19
134811,2185000,12,17,2019,1,5.0,4.5,4270.0,6000.0,2019.0,19
